X,Y,OBJECTID,NCESSCH,NMCNTY,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,GSLO,GSHI,VIRTUAL,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,TOTAL,MEMBER,AM,HI,BL,WH,HP,TR,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,STITLEI,AMALM,AMALF,ASALM,ASALF,HIALM,HIALF,BLALM,BLALF,WHALM,WHALF,HPALM,HPALF,TRALM,TRALF,TOTMENROL,TOTFENROL,STATUS,UG,AE,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL,AS,CHARTER_TEXT,MAGNET_TEXT
-84.7276167,33.73789358,19418,1.30186E+11,Douglas County,2017-2018,GA,1301860,GA-648,Douglas County,Brighten Academy,5897 Prestley Mill Rd,,,Douglasville,GA,30135,    ,(770)615-3680,KG,8,Not a virtual school,284,224,60,,85,88,92,96,103,108,91,60,56,,,,,,779,779,0,64,451,232,0,24,40.09999847,33.7379,-84.727621,21-Suburb: Large,19.43,Not Applicable,0,0,5,3,28,36,207,244,99,133,0,0,14,10,353,426,1,,,Regular school,Currently operational ,Elementary,8,Yes,No
-84.7338617,33.67773259,19419,1.30186E+11,Douglas County,2017-2018,GA,1301860,GA-648,Douglas County,Youth Villages at Inner Harbour,4685 Dorsett Shoals Rd,,,Douglasville,GA,30135,    ,(770)942-2391,2,12,Not a virtual school,55,55,0,,,,3,2,,2,,3,9,25,11,2,1,,58,58,0,1,40,15,0,2,16.79999924,33.677739,-84.733866,41-Rural: Fringe,3.45,Yes,0,0,0,0,0,1,25,15,9,6,0,0,1,1,35,23,1,,,Special education school,Currently operational ,Other,0,No,No
-83.93190097,33.0364057,19420,1.30003E+11,Monroe County,2017-2018,GA,1300025,GA-890,Department of Corrections,Department of Corrections,300 Patrol Rd,,,Forsyth,GA,31029,    ,(478)992-5916,N ,N ,Not a virtual school,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,33.036412,-83.931905,32-Town: Distant,,Not Applicable,,,,,,,,,,,,,,,,,1,,,Alternative/other school,Currently operational ,Not Applicable,,No,No
-84.3906368,33.75415356,19421,1.30003E+11,Fulton County,2017-2018,GA,1300027,GA-892,Department of Human Resources,Department of Human Resources,2 Peachtree Street NW,11 th floor,,Atlanta,GA,30303,    ,(404)657-0435,N ,N ,Not a virtual school,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,33.75416,-84.390641,11-City: Large,,Not Applicable,,,,,,,,,,,,,,,,,1,,,Alternative/other school,Currently operational ,Not Applicable,,No,No
-84.3653948,33.79027656,19422,1.30012E+11,Fulton County,2017-2018,GA,1300120,GA-761,Atlanta Public Schools,Hillside Conant School,690 Courtenay Dr NE,,,Atlanta,GA,30306,    ,(404)875-4551,3,12,Not a virtual school,66,66,0,,,,,4,2,2,4,7,9,18,16,5,2,,69,69,0,3,18,43,0,4,11,33.790283,-84.365399,11-City: Large,6.27,Yes,0,0,1,0,1,2,15,3,25,18,0,0,3,1,45,24,1,,,Regular school,Currently operational ,Other,1,No,No
-84.68651272,33.52331463,19423,1.30228E+11,Fulton County,2017-2018,GA,1302280,GA-660,Fulton County,Georgia Baptist Children's Home and Family Ministries,9250 Hutcheson Ferry Rd,,,Palmetto,GA,30268,    ,(770)463-3344,5,11,Not a virtual school,13,13,0,,,,,,,1,1,3,4,5,1,1,,,16,16,0,1,4,9,0,1,2,33.523321,-84.686517,41-Rural: Fringe,8,No,0,0,1,0,1,0,0,4,5,4,0,0,1,0,8,8,1,,,Special education school,Currently operational ,Middle,1,No,No
-81.47269376,31.31585401,19424,1.3024E+11,Glynn County,2017-2018,GA,1302400,GA-663,Glynn County,Morningstar Treatment Services- Inc. Youth Estate,1 Youth Estate Dr. Highway 99,,,Brunswick,GA,31525,    ,(912)267-3700,6,12,Not a virtual school,40,40,0,,,,,,,,1,4,9,6,12,7,4,,43,43,0,1,20,20,0,2,6,31.31586,-81.472697,41-Rural: Fringe,7.17,No,0,0,0,0,1,0,13,7,12,8,0,0,2,0,28,15,1,,,Special education school,Currently operational ,High,0,No,No
-84.21423184,33.95648352,19425,1.30255E+11,Gwinnett County,2017-2018,GA,1302550,GA-667,Gwinnett County,Gwinnett Intervention Education Center (GIVE) West,5550 Peachtree Industrial Blvd,,,Norcross,GA,30071,    ,(770)246-5300,6,12,Not a virtual school,167,157,10,,,,,,,,6,19,44,66,48,23,11,,217,217,1,123,73,9,0,3,34.70000076,33.95649,-84.214236,21-Suburb: Large,6.25,Yes,1,0,7,1,98,25,53,20,9,0,0,0,1,2,169,48,1,,,Regular school,Currently operational ,High,8,No,No
-83.46191804,34.19546044,19426,1.30144E+11,Jackson County,2017-2018,GA,1301440,GA-771,Commerce City,Commerce Primary,395 Minish Dr,,,Commerce,GA,30529,    ,(706)335-5587,PK,2,Not a virtual school,305,267,38,65,130,127,120,,,,,,,,,,,,442,442,1,67,47,289,0,31,31,34.195467,-83.461922,32-Town: Distant,14.26,Yes,0,1,3,4,34,33,22,25,144,145,0,0,12,19,215,227,1,,,Regular school,Currently operational ,Elementary,7,No,No
-84.70939875,32.88082276,19427,1.30363E+11,Meriwether County,2017-2018,GA,1303630,GA-699,Meriwether County,Good Sheperd Therapeutic Center,390 Bar Best Ranch Rd,,,Warm Springs,GA,31830,    ,(706)655-2354,9,10,A virtual school,-9,-9,-9,,,,,,,,,,,4,4,,,,8,8,0,0,6,2,0,0,1,32.880829,-84.709403,42-Rural: Distant,8,No,0,0,0,0,0,0,6,0,2,0,0,0,0,0,8,0,1,,,Special education school,Currently operational ,Secondary,0,No,No
-84.85391473,32.52666485,19428,1.30003E+11,Muscogee County,2017-2018,GA,1300026,GA-891,Department of Juvenile Justice,Muscogee Youth Development Center,7700 Chattsworth Rd,,,Midland,GA,31820,    ,(706)569-2863,7,12,Not a virtual school,3,-1,-1,,,,,,,,,2,5,20,15,3,2,,47,47,0,3,33,8,0,1,5,32.526671,-84.853919,41-Rural: Fringe,9.4,Yes,0,0,2,0,3,0,33,0,8,0,0,0,1,0,47,0,1,,,Alternative/other school,Currently operational ,High,2,No,No
-84.97894769,32.48839086,19429,1.30387E+11,Muscogee County,2017-2018,GA,1303870,GA-706,Muscogee County,Early College Academy of Columbus at Waverly Terrace,2701 11th Ave,,,Columbus,GA,31904,    ,(706)565-2965,9,12,Not a virtual school,149,149,0,,,,,,,,,,,33,37,41,47,,158,158,0,6,124,20,1,6,10.5,32.488397,-84.978952,12-City: Mid-size,15.05,Yes,0,0,0,1,3,3,32,92,7,13,1,0,2,4,45,113,1,,,Regular school,Currently operational ,High,1,No,No
-84.9307407,32.57507784,19430,1.30387E+11,Muscogee County,2017-2018,GA,1303870,GA-706,Muscogee County,North Columbus Elementary,2006 Old Guard Rd,,,Columbus,GA,31909,    ,(706)748-3183,KG,5,Not a virtual school,378,316,62,,117,127,116,126,137,132,,,,,,,,,755,755,1,96,213,365,3,43,37.5,32.575084,-84.930745,41-Rural: Fringe,20.13,No,1,0,14,20,50,46,100,113,184,181,2,1,18,25,369,386,1,,,Regular school,Currently operational ,Elementary,34,No,No
-85.24420654,34.00918354,19431,1.3042E+11,Polk County,2017-2018,GA,1304200,GA-715,Polk County,Harpst Academy,740 Fletcher St,,,Cedartown,GA,30125,    ,(770)748-1500,6,11,Not a virtual school,57,57,0,,,,,,,,2,5,9,26,14,1,,,57,57,1,3,9,42,0,2,7.5,34.00919,-85.244211,32-Town: Distant,7.6,Yes,0,1,0,0,3,0,5,4,21,21,0,0,0,2,29,28,1,,,Special education school,Currently operational ,Secondary,0,No,No
-82.08733748,33.49096354,19432,1.30438E+11,Richmond County,2017-2018,GA,1304380,GA-721,Richmond County,Lighthouse Care Center of Augusta,3100 Perimeter Pkwy,,,Augusta,GA,30909,    ,(706)651-0005,6,12,Not a virtual school,11,11,0,,,,,,,,1,,3,4,2,3,1,,14,14,0,1,4,8,0,1,3,33.49097,-82.087341,12-City: Mid-size,4.67,Yes,0,0,0,0,0,1,1,3,1,7,0,0,0,1,2,12,1,,,Special education school,Currently operational ,High,0,No,No
-82.09978248,33.37101757,19433,1.30438E+11,Richmond County,2017-2018,GA,1304380,GA-721,Richmond County,Deer Chase Elementary School,1780 Deer Chase Ln,,,Hephzibah,GA,30815,    ,(706)772-6240,PK,5,Not a virtual school,530,530,0,30,73,74,92,86,93,102,,,,,,,,,550,550,0,9,510,13,6,9,35,33.371024,-82.099786,12-City: Mid-size,15.71,Yes,0,0,1,2,4,5,268,242,8,5,3,3,4,5,288,262,1,,,Regular school,Currently operational ,Elementary,3,No,No
-82.07804849,33.36909257,19434,1.30438E+11,Richmond County,2017-2018,GA,1304380,GA-721,Richmond County,Diamond Lakes Elementary School,4153 Windsor Spring Rd,,,Hephzibah,GA,30815,    ,(706)771-2881,PK,5,Not a virtual school,552,552,0,45,77,78,87,86,99,101,,,,,,,,,573,573,2,32,457,56,1,23,36.79999924,33.369099,-82.078052,12-City: Mid-size,15.57,Yes,0,2,2,0,18,14,244,213,32,24,0,1,14,9,310,263,1,,,Regular school,Currently operational ,Elementary,2,No,No
-84.09655394,32.56649081,19435,1.3048E+11,Taylor County,2017-2018,GA,1304800,GA-733,Taylor County,Georgia Center,14 Louisiana Ct,,,Reynolds,GA,31076,    ,(478)847-2403,7,11,Not a virtual school,41,41,0,,,,,,,,,2,7,19,10,6,,,44,44,0,6,17,21,0,0,6,32.566497,-84.096558,42-Rural: Distant,7.33,Yes,0,0,0,0,4,2,11,6,12,9,0,0,0,0,27,17,1,,,Special education school,Currently operational ,Secondary,0,No,No
-85.01812665,33.03583374,19436,1.3E+11,Troup County,2017-2018,GA,1300001,GA-741,Troup County,Bradfield Center - Ault Academy,1022 E Depot St,,,Lagrange,GA,30241,    ,(706)884-1717,6,11,Not a virtual school,31,31,0,,,,,,,,1,5,4,18,5,1,,,34,34,0,3,21,10,0,0,7.400000095,33.03584,-85.018131,32-Town: Distant,4.59,Yes,0,0,0,0,3,0,21,0,10,0,0,0,0,0,34,0,1,,,Special education school,Currently operational ,Secondary,0,No,No
-83.36229715,32.68494976,19437,1.30522E+11,Twiggs County,2017-2018,GA,1305220,GA-743,Twiggs County,Jeffersonville Elementary,675 Bullard Rd,,,Jeffersonville,GA,31044,    ,(478)945-3127,PK,5,Not a virtual school,355,355,0,37,53,50,60,60,62,63,,,,,,,,,385,385,0,7,240,134,0,2,30,32.684956,-83.362301,42-Rural: Distant,12.83,Yes,0,0,1,1,5,2,121,119,78,56,0,0,1,1,206,179,1,,,Regular school,Currently operational ,Elementary,2,No,No
-84.86364459,34.90623734,19438,1.3057E+11,Whitfield County,2017-2018,GA,1305700,GA-755,Whitfield County,Beaverdale Elementary School,1350 Prater Mill Rd NE,,,Dalton,GA,30721,    ,(706)275-4414,PK,5,Not a virtual school,250,212,38,22,71,56,55,65,60,49,,,,,,,,,378,378,1,42,1,314,0,19,31.60000038,34.906244,-84.863649,41-Rural: Fringe,11.96,Yes,1,0,0,1,28,14,1,0,171,143,0,0,11,8,212,166,1,,,Regular school,Currently operational ,Elementary,1,No,No
-83.26450724,31.19267909,19439,1.30039E+11,Berrien County,2017-2018,GA,1300390,GA-610,Berrien County,Berrien Academy Performance Learning Center,1015 Exum Rd,,,Nashville,GA,31639,    ,(229)686-6576,9,12,Not a virtual school,53,53,0,,,,,,,,,,,19,17,17,11,,64,64,0,2,3,57,0,2,2.200000048,31.192685,-83.264511,32-Town: Distant,29.09,Not Applicable,0,0,0,0,1,1,2,1,26,31,0,0,1,1,30,34,1,,,Regular school,Currently operational ,High,0,Yes,No
-85.04295471,31.62050805,19440,1.3012E+11,Clay County,2017-2018,GA,1301200,GA-630,Clay County,Clay County Middle School,200 Hobbs Ln,,,Fort Gaines,GA,39851,    ,(229)768-2234,6,8,Not a virtual school,70,70,0,,,,,,,,24,24,22,,,,,,70,70,1,0,65,2,0,2,8.300000191,31.620514,-85.042959,43-Rural: Remote,8.43,Yes,0,1,0,0,0,0,36,29,2,0,0,0,1,1,39,31,1,,,Regular school,Currently operational ,Middle,0,No,No
-85.04295471,31.62050805,19441,1.3012E+11,Clay County,2017-2018,GA,1301200,GA-630,Clay County,Clay County Elementary,200 Hobbs Ln,,,Fort Gaines,GA,39851,    ,(229)768-2234,PK,5,Not a virtual school,162,162,0,29,21,18,18,32,27,25,,,,,,,,,170,170,1,1,164,2,0,2,13.19999981,31.620514,-85.042959,43-Rural: Remote,12.88,Yes,1,0,0,0,0,1,84,80,2,0,0,0,1,1,88,82,1,,,Regular school,Currently operational ,Elementary,0,No,No
-83.4375572,31.15481511,19442,1.30147E+11,Cook County,2017-2018,GA,1301470,GA-637,Cook County,Cook Elementary School,1512 N Elm St,,,Sparks,GA,31647,    ,(229)549-6250,3,5,Not a virtual school,619,619,0,,,,,251,250,235,,,,,,,,,736,736,1,86,257,370,1,15,46.59999847,31.154821,-83.437561,41-Rural: Fringe,15.79,Yes,1,0,1,5,49,37,133,124,197,173,1,0,10,5,392,344,1,,,Regular school,Currently operational ,Elementary,6,No,No
-83.19446122,32.20527986,19443,1.30177E+11,Dodge County,2017-2018,GA,1301770,GA-645,Dodge County,Dodge County High School,350 Pearl Bates Ave,,,Eastman,GA,31023,    ,(478)374-7711,9,12,Not a virtual school,630,591,39,,,,,,,,,,,249,214,197,204,,864,864,2,33,298,505,0,23,52.79999924,32.205286,-83.194465,32-Town: Distant,16.36,Yes,2,0,1,2,16,17,150,148,261,244,0,0,12,11,442,422,1,,,Regular school,Currently operational ,High,3,No,No
-83.76648605,32.18479588,19444,1.3018E+11,Dooly County,2017-2018,GA,1301800,GA-646,Dooly County,Dooly County Elementary School,11949 US Highway 41,,,Pinehurst,GA,31070,    ,(229)645-3421,PK,5,Not a virtual school,433,433,0,84,93,87,106,106,98,88,,,,,,,,,662,662,0,129,442,64,0,22,38.79999924,32.184802,-83.76649,42-Rural: Distant,17.06,Yes,0,0,4,1,65,64,229,213,36,28,0,0,10,12,344,318,1,,,Regular school,Currently operational ,Elementary,5,No,No
-82.89460621,34.10658243,19445,1.30201E+11,Elbert County,2017-2018,GA,1302010,GA-652,Elbert County,Elbert County Middle School,1108 Athens Tech Rd,,,Elberton,GA,30635,    ,(706)213-4200,5,8,Not a virtual school,812,812,0,,,,,,,229,231,208,204,,,,,,872,872,1,79,280,475,0,29,55.5,34.106589,-82.89461,41-Rural: Fringe,15.71,Yes,0,1,4,4,39,40,131,149,242,233,0,0,15,14,431,441,1,,,Regular school,Currently operational ,Middle,8,No,No
-83.19421211,34.39487938,19446,1.30225E+11,Franklin County,2017-2018,GA,1302250,GA-659,Franklin County,Franklin County Middle School,485 Turkey Creek Rd,,,Carnesville,GA,30521,    ,(706)384-4581,6,8,Not a virtual school,478,423,55,,,,,,,,291,281,270,,,,,,842,842,1,74,78,638,0,40,56.59999847,34.394886,-83.194216,42-Rural: Distant,14.88,Yes,1,0,6,5,36,38,31,47,314,324,0,0,17,23,405,437,1,,,Regular school,Currently operational ,Middle,11,No,No
-83.19265911,34.39861638,19447,1.30225E+11,Franklin County,2017-2018,GA,1302250,GA-659,Franklin County,Carnesville Elementary Intermediate School,11555 Highway 59,,,Carnesville,GA,30521,    ,(706)384-7326,3,5,Not a virtual school,144,124,20,,,,,89,85,96,,,,,,,,,270,270,0,16,11,225,0,15,20.20000076,34.398623,-83.192663,42-Rural: Distant,13.37,Yes,0,0,3,0,7,9,6,5,120,105,0,0,10,5,146,124,1,,,Regular school,Currently operational ,Elementary,3,No,No
-84.50405671,34.68218537,19448,1.30234E+11,Gilmer County,2017-2018,GA,1302340,GA-661,Gilmer County,Mountain View Elementary,350 Calvin Jackson Dr,,,Ellijay,GA,30540,    ,(706)276-5100,PK,4,Not a virtual school,323,295,28,44,74,84,77,112,82,,,,,,,,,,473,473,1,113,3,348,0,8,34.20000076,34.682192,-84.504061,41-Rural: Fringe,13.83,Yes,0,1,0,0,53,60,1,2,184,164,0,0,3,5,241,232,1,,,Regular school,Currently operational ,Elementary,0,No,No
-84.45571873,34.61464338,19449,1.30234E+11,Gilmer County,2017-2018,GA,1302340,GA-661,Gilmer County,Clear Creek Middle School,346 Clear Creek School Dr,,,Ellijay,GA,30536,    ,(706)276-5150,7,8,Not a virtual school,413,353,60,,,,,,,,,316,326,,,,,,642,642,0,179,1,457,0,4,41,34.61465,-84.455723,42-Rural: Distant,15.66,Yes,0,0,0,1,98,81,1,0,210,247,0,0,2,2,311,331,1,,,Regular school,Currently operational ,Middle,1,No,No
-83.00194517,34.37493538,19450,1.30273E+11,Hart County,2017-2018,GA,1302730,GA-673,Hart County,North Hart Elementary School,124 Ankerich Rd,,,Bowersville,GA,30516,    ,(706)856-7369,PK,5,Not a virtual school,392,333,59,44,84,94,97,93,107,124,,,,,,,,,643,643,0,63,59,481,0,39,42.79999924,34.374942,-83.001949,42-Rural: Distant,15.02,Yes,0,0,0,1,33,30,28,31,259,222,0,0,22,17,342,301,1,,,Regular school,Currently operational ,Elementary,1,No,No
-82.92792519,34.34967138,19451,1.30273E+11,Hart County,2017-2018,GA,1302730,GA-673,Hart County,South Hart Elementary School,121 E & M Dairy Rd,,,Hartwell,GA,30643,    ,(706)856-7383,PK,5,Not a virtual school,385,320,65,42,74,81,88,84,110,80,,,,,,,,,559,559,0,52,119,356,0,18,37.09999847,34.349678,-82.927929,32-Town: Distant,15.07,Yes,0,0,8,6,24,28,64,55,178,178,0,0,9,9,283,276,1,,,Regular school,Currently operational ,Elementary,14,No,No
-83.46761904,34.14594145,19452,1.30294E+11,Jackson County,2017-2018,GA,1302940,GA-678,Jackson County,East Jackson Elementary School,1531 Hoods Mill Rd,,,Commerce,GA,30529,    ,(706)336-7900,PK,5,Not a virtual school,442,392,50,50,107,97,103,107,114,121,,,,,,,,,699,699,0,118,42,509,0,21,45,34.145948,-83.467623,41-Rural: Fringe,15.53,Yes,0,0,4,5,54,64,18,24,274,235,0,0,8,13,358,341,1,,,Regular school,Currently operational ,Elementary,9,No,No
-83.46328904,34.14308145,19453,1.30294E+11,Jackson County,2017-2018,GA,1302940,GA-678,Jackson County,East Jackson Comprehensive High School,1435 Hoods Mill Rd,,,Commerce,GA,30529,    ,(706)336-8900,8,12,Not a virtual school,737,635,102,,,,,,,,,,273,280,257,212,181,,1203,1203,4,212,89,833,0,44,73.80000305,34.143088,-83.463293,41-Rural: Fringe,16.3,Yes,3,1,6,15,95,117,43,46,412,421,0,0,16,28,575,628,1,,,Regular school,Currently operational ,High,21,No,No
-84.02406186,34.4546244,19454,1.30342E+11,Lumpkin County,2017-2018,GA,1303420,GA-693,Lumpkin County,Blackburn Elementary School,45 Blackburn Rd,,,Dawsonville,GA,30534,    ,(706)864-8180,KG,5,Not a virtual school,393,317,76,,128,148,121,111,134,138,,,,,,,,,780,780,4,62,6,691,2,14,50.20000076,34.454631,-84.024066,41-Rural: Fringe,15.54,Yes,2,2,1,0,24,38,3,3,385,306,1,1,7,7,423,357,1,,,Regular school,Currently operational ,Elementary,1,No,No
