X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,GSLO,GSHI,VIRTUAL,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,TOTAL,MEMBER,AM,HI,BL,WH,HP,TR,FTE,LATCOD,LONCOD,ULOCALE,NMCNTY,STUTERATIO,TITLEI,STITLEI,AMALM,AMALF,ASALM,ASALF,HIALM,HIALF,BLALM,BLALF,WHALM,WHALF,HPALM,HPALF,TRALM,TRALF,TOTMENROL,TOTFENROL,STATUS,UG,AE,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL,AS,CHARTER_TEXT,MAGNET_TEXT
-9290937.774,4055082.614,18831,1.30144E+11,2018-2019,GA,1301440,GA-771,Commerce City,Commerce Primary,395 Minish Dr,,Commerce,GA,30529,    ,(706)335-5587,PK,2,Not Virtual,266,226,40,70,133,134,124,,,,,,,,,,,,461,461,2,73,48,300,0,31,31,34.195467,-83.461922,32-Town: Distant,Jackson County,14.9,1-Yes,1-Yes,0,2,3,4,38,35,23,25,140,160,0,0,15,16,219,242,1,,,Regular school,Currently operational ,Elementary,7,No,No
-9429808.567,3879508.785,18832,1.30363E+11,2018-2019,GA,1303630,GA-699,Meriwether County,Good Sheperd Therapeutic Center,390 Bar Best Ranch Rd,,Warm Springs,GA,31830,    ,(706)655-2354,8,10,Not Virtual,7,7,0,,,,,,,,,,1,4,5,,,,10,10,0,1,7,1,0,1,1,32.880829,-84.709403,42-Rural: Distant,Meriwether County,10,1-Yes,2-No,0,0,0,0,1,0,7,0,1,0,0,0,1,0,10,0,1,,,Regular school,Currently operational ,Secondary,0,No,No
-9445890.918,3832644.853,18833,1.30003E+11,2018-2019,GA,1300026,GA-891,Department of Juvenile Justice,Muscogee Youth Development Center,7700 Chattsworth Rd,,Midland,GA,31820,    ,(706)569-2863,8,12,Not Virtual,3,-1,-1,,,,,,,,,,5,24,12,7,2,,50,50,0,4,32,12,1,0,7,32.526671,-84.853919,41-Rural: Fringe,Muscogee County,7.1,1-Yes,1-Yes,0,0,1,0,4,0,32,0,12,0,1,0,0,0,50,0,1,,,Alternative/other school,Currently operational ,High,1,No,No
-9459805.854,3827609.397,18834,1.30387E+11,2018-2019,GA,1303870,GA-706,Muscogee County,Early College Academy of Columbus at Waverly Terrace,2701 11th Ave,,Columbus,GA,31904,    ,(706)565-2965,9,12,Not Virtual,117,117,0,,,,,,,,,,,26,29,34,35,,124,124,0,14,85,17,0,7,10.10000038,32.488397,-84.978952,12-City: Mid-size,Muscogee County,12.3,1-Yes,1-Yes,0,0,0,1,7,7,16,69,7,10,0,0,2,5,32,92,1,,,Regular school,Currently operational ,High,1,No,No
-9454445.071,3839036.918,18835,1.30387E+11,2018-2019,GA,1303870,GA-706,Muscogee County,North Columbus Elementary,2006 Old Guard Rd,,Columbus,GA,31909,    ,(706)748-3183,KG,5,Not Virtual,323,263,60,,105,121,104,128,109,126,,,,,,,,,693,693,0,105,188,298,1,49,39,32.575084,-84.930745,41-Rural: Fringe,Muscogee County,17.8,Not Applicable,Not Applicable,0,0,26,26,53,52,81,107,138,160,1,0,25,24,324,369,1,,,Regular school,Currently operational ,Elementary,52,No,No
-9489341.122,4030047.815,18836,1.3042E+11,2018-2019,GA,1304200,GA-715,Polk County,Harpst Academy,740 Fletcher St,,Cedartown,GA,30125,    ,(770)748-1500,6,12,Not Virtual,43,43,0,,,,,,,,1,5,6,18,12,3,1,,46,46,1,4,16,25,0,0,7.5,34.00919,-85.244211,32-Town: Distant,Polk County,6.1,1-Yes,1-Yes,0,1,0,0,3,1,9,7,14,11,0,0,0,0,26,20,1,,,Regular school,Currently operational ,High,0,No,No
-9137914.241,3960670.688,18837,1.30438E+11,2018-2019,GA,1304380,GA-721,Richmond County,Lighthouse Care Center of Augusta,3100 Perimeter Pkwy,,Augusta,GA,30909,    ,(706)651-0005,6,11,Not Virtual,14,14,0,,,,,,,,1,1,4,4,5,2,,,17,17,0,0,6,9,0,2,3,33.49097,-82.087341,12-City: Mid-size,Richmond County,5.7,1-Yes,1-Yes,0,0,0,0,0,0,2,4,1,8,0,0,0,2,3,14,1,,,Regular school,Currently operational ,Secondary,0,No,No
-9139307.093,3944664.678,18838,1.30438E+11,2018-2019,GA,1304380,GA-721,Richmond County,Deer Chase Elementary School,1780 Deer Chase Ln,,Hephzibah,GA,30815,    ,(706)772-6240,PK,5,Not Virtual,495,495,0,27,79,67,73,86,86,96,,,,,,,,,514,514,0,8,480,12,2,7,31,33.371024,-82.099786,12-City: Mid-size,Richmond County,16.6,1-Yes,1-Yes,0,0,3,2,5,3,252,228,7,5,0,2,4,3,271,243,1,,,Regular school,Currently operational ,Elementary,5,No,No
-9136881.492,3944396.2,18839,1.30438E+11,2018-2019,GA,1304380,GA-721,Richmond County,Diamond Lakes Elementary School,4153 Windsor Spring Rd,,Hephzibah,GA,30815,    ,(706)771-2881,PK,5,Not Virtual,498,498,0,44,73,69,87,80,78,86,,,,,,,,,517,517,1,39,408,38,3,25,36,33.369099,-82.078052,12-City: Mid-size,Richmond County,14.4,1-Yes,1-Yes,0,1,3,0,20,19,214,194,26,12,1,2,13,12,277,240,1,,,Regular school,Currently operational ,Elementary,3,No,No
-9361579.177,3837908.181,18840,1.3048E+11,2018-2019,GA,1304800,GA-733,Taylor County,Georgia Center,14 Louisiana Ct,,Reynolds,GA,31076,    ,(478)847-2403,7,12,Not Virtual,3,-1,-1,,,,,,,,,5,13,10,12,8,1,,49,49,0,5,22,21,0,1,6,32.566497,-84.096558,42-Rural: Distant,Taylor County,8.2,1-Yes,1-Yes,0,0,0,0,3,2,17,5,10,11,0,0,0,1,30,19,1,,,Regular school,Currently operational ,High,0,No,No
-9464174.655,3900068.554,18841,1.3E+11,2018-2019,GA,1300001,GA-741,Troup County,Bradfield Center - Ault Academy,1022 E Depot St,,Lagrange,GA,30241,    ,(706)884-1717,5,11,Not Virtual,35,35,0,,,,,,,1,,4,7,14,9,3,,,38,38,0,4,23,11,0,0,6.5,33.03585,-85.018131,32-Town: Distant,Troup County,5.8,1-Yes,1-Yes,0,0,0,0,4,0,23,0,11,0,0,0,0,0,38,0,1,,,Regular school,Currently operational ,Secondary,0,No,No
-9279849.309,3853550.766,18842,1.30522E+11,2018-2019,GA,1305220,GA-743,Twiggs County,Jeffersonville Elementary,675 Bullard Rd,,Jeffersonville,GA,31044,    ,(478)945-3127,PK,5,Not Virtual,372,372,0,44,46,54,43,66,62,57,,,,,,,,,372,372,0,9,228,132,0,2,26,32.684956,-83.362301,42-Rural: Distant,Twiggs County,14.3,1-Yes,1-Yes,0,0,1,0,4,5,102,126,71,61,0,0,1,1,179,193,1,,,Regular school,Currently operational ,Elementary,1,No,No
-9446971.228,4151156.466,18843,1.3057E+11,2018-2019,GA,1305700,GA-755,Whitfield County,Beaverdale Elementary School,1350 Prater Mill Rd NE,,Dalton,GA,30721,    ,(706)275-4414,PK,5,Not Virtual,245,199,46,22,56,63,51,64,66,55,,,,,,,,,377,377,1,49,1,311,0,15,28.89999962,34.906244,-84.863649,41-Rural: Fringe,Whitfield County,13,1-Yes,1-Yes,1,0,0,0,27,22,0,1,167,144,0,0,7,8,202,175,1,,,Regular school,Currently operational ,Elementary,0,No,No
-9268964.676,3657798.712,18844,1.30039E+11,2018-2019,GA,1300390,GA-610,Berrien County,Berrien Academy Performance Learning Center,1015 Exum Rd,,Nashville,GA,31639,    ,(229)686-6576,9,12,Not Virtual,55,55,0,,,,,,,,,,,21,17,10,18,,66,66,0,4,2,59,0,1,2.200000048,31.192685,-83.264511,32-Town: Distant,Berrien County,30,Not Applicable,Not Applicable,0,0,0,0,3,1,0,2,22,37,0,0,1,0,26,40,1,,,Regular school,Currently operational ,High,0,Yes,No
-9466912.799,3713651.48,18845,1.3012E+11,2018-2019,GA,1301200,GA-630,Clay County,Clay County Middle School,200 Hobbs Ln,,Fort Gaines,GA,39851,    ,(229)768-2234,6,8,Not Virtual,62,62,0,,,,,,,,22,22,18,,,,,,62,62,1,0,60,1,0,0,7.800000191,31.620837,-85.042746,43-Rural: Remote,Clay County,7.9,1-Yes,1-Yes,0,1,0,0,0,0,32,28,1,0,0,0,0,0,33,29,1,,,Regular school,Currently operational ,Middle,0,No,No
-9466912.799,3713651.48,18846,1.3012E+11,2018-2019,GA,1301200,GA-630,Clay County,Clay County Elementary,200 Hobbs Ln,,Fort Gaines,GA,39851,    ,(229)768-2234,PK,5,Not Virtual,140,140,0,18,26,13,15,15,30,23,,,,,,,,,140,140,1,0,136,3,0,0,12.30000019,31.620837,-85.042746,43-Rural: Remote,Clay County,11.4,1-Yes,1-Yes,1,0,0,0,0,0,65,71,2,1,0,0,0,0,68,72,1,,,Regular school,Currently operational ,Elementary,0,No,No
-9288220.013,3652883.179,18847,1.30147E+11,2018-2019,GA,1301470,GA-637,Cook County,Cook Elementary School,1512 N Elm St,,Sparks,GA,31647,    ,(229)549-6250,3,5,Not Virtual,614,614,0,,,,,230,240,260,,,,,,,,,730,730,0,85,252,365,1,22,47.79999924,31.154821,-83.437561,41-Rural: Fringe,Cook County,15.3,1-Yes,1-Yes,0,0,1,4,47,38,119,133,200,165,1,0,18,4,386,344,1,,,Regular school,Currently operational ,Elementary,5,No,No
-9261157.908,3790292.644,18848,1.30177E+11,2018-2019,GA,1301770,GA-645,Dodge County,Dodge County High School,350 Pearl Bates Ave,,Eastman,GA,31023,    ,(478)374-7711,9,12,Not Virtual,580,535,45,,,,,,,,,,,226,237,201,192,,856,856,1,33,300,492,0,29,53.59999847,32.205286,-83.194465,32-Town: Distant,Dodge County,16,1-Yes,1-Yes,1,0,1,0,14,19,144,156,252,240,0,0,18,11,430,426,1,,,Regular school,Currently operational ,High,1,No,No
-9324841.843,3787602.948,18849,1.3018E+11,2018-2019,GA,1301800,GA-646,Dooly County,Dooly County Elementary School,11949 US Highway 41,,Pinehurst,GA,31070,    ,(229)645-3421,PK,5,Not Virtual,525,525,0,76,79,86,87,107,95,101,,,,,,,,,631,631,0,114,441,53,0,19,34.29999924,32.184802,-83.76649,42-Rural: Distant,Dooly County,18.4,1-Yes,1-Yes,0,0,3,1,62,52,227,214,29,24,0,0,10,9,331,300,1,,,Regular school,Currently operational ,Elementary,4,No,No
-9227783.803,4043136.825,18850,1.30201E+11,2018-2019,GA,1302010,GA-652,Elbert County,Elbert County Middle School,1108 Athens Tech Rd,,Elberton,GA,30635,    ,(706)213-4200,5,8,Not Virtual,866,866,0,,,,,,,260,236,217,217,,,,,,930,930,2,92,345,453,0,30,56.40000153,34.106589,-82.89461,41-Rural: Fringe,Elbert County,16.5,1-Yes,1-Yes,1,1,2,6,40,52,153,192,239,214,0,0,13,17,448,482,1,,,Regular school,Currently operational ,Middle,8,No,No
-9261137.525,4081951.166,18851,1.30225E+11,2018-2019,GA,1302250,GA-659,Franklin County,Franklin County Middle School,485 Turkey Creek Rd,,Carnesville,GA,30521,    ,(706)384-4581,6,8,Not Virtual,476,409,67,,,,,,,,287,277,295,,,,,,859,859,1,81,75,648,0,45,58.5,34.394886,-83.194216,42-Rural: Distant,Franklin County,14.7,1-Yes,1-Yes,1,0,4,5,41,40,27,48,326,322,0,0,20,25,419,440,1,,,Regular school,Currently operational ,Middle,9,No,No
-9260967.665,4082461.686,18852,1.30225E+11,2018-2019,GA,1302250,GA-659,Franklin County,Carnesville Elementary Intermediate School,11555 Highway 59,,Carnesville,GA,30521,    ,(706)384-7326,3,5,Not Virtual,126,109,17,,,,,76,92,90,,,,,,,,,258,258,0,17,11,223,0,6,21.79999924,34.398623,-83.192663,42-Rural: Distant,Franklin County,11.8,1-Yes,1-Yes,0,0,1,0,8,9,7,4,126,97,0,0,5,1,147,111,1,,,Regular school,Currently operational ,Elementary,1,No,No
-9406952.197,4120791.986,18853,1.30234E+11,2018-2019,GA,1302340,GA-661,Gilmer County,Mountain View Elementary,350 Calvin Jackson Dr,,Ellijay,GA,30540,    ,(706)276-5100,PK,4,Not Virtual,330,285,45,44,90,81,84,81,114,,,,,,,,,,494,494,1,129,4,356,0,4,35.40000153,34.682192,-84.504061,41-Rural: Fringe,Gilmer County,14,1-Yes,1-Yes,0,1,0,0,60,69,2,2,200,156,0,0,1,3,263,231,1,,,Regular school,Currently operational ,Elementary,0,No,No
-9401564.236,4111640.89,18854,1.30234E+11,2018-2019,GA,1302340,GA-661,Gilmer County,Clear Creek Middle School,346 Clear Creek School Dr,,Ellijay,GA,30536,    ,(706)276-5150,7,8,Not Virtual,390,338,52,,,,,,,,,315,310,,,,,,625,625,0,167,0,451,0,3,39.09999847,34.61465,-84.455723,42-Rural: Distant,Gilmer County,16,1-Yes,1-Yes,0,0,1,3,81,86,0,0,216,235,0,0,2,1,300,325,1,,,Regular school,Currently operational ,Middle,4,No,No
-9239728.362,4079250.736,18855,1.30273E+11,2018-2019,GA,1302730,GA-673,Hart County,North Hart Elementary School,124 Ankerich Rd,,Bowersville,GA,30516,    ,(706)856-7369,PK,5,Not Virtual,357,304,53,45,105,84,89,97,90,104,,,,,,,,,614,614,1,62,51,458,0,40,39,34.374942,-83.001949,42-Rural: Distant,Hart County,15.7,1-Yes,1-Yes,1,0,0,2,33,29,24,27,233,225,0,0,22,18,313,301,1,,,Regular school,Currently operational ,Elementary,2,No,No
-9231493.547,4075851.416,18856,1.30273E+11,2018-2019,GA,1302730,GA-673,Hart County,South Hart Elementary School,121 E & M Dairy Rd,,Hartwell,GA,30643,    ,(706)856-7383,PK,5,Not Virtual,375,315,60,52,93,80,78,91,91,105,,,,,,,,,590,590,0,57,120,372,0,24,38,34.349678,-82.927929,32-Town: Distant,Hart County,15.5,1-Yes,1-Yes,0,0,7,10,24,33,65,55,193,179,0,0,12,12,301,289,1,,,Regular school,Currently operational ,Elementary,17,No,No
-9291569.654,4048406.203,18857,1.30294E+11,2018-2019,GA,1302940,GA-678,Jackson County,East Jackson Elementary School,1531 Hoods Mill Rd,,Commerce,GA,30529,    ,(706)336-7900,PK,5,Not Virtual,429,368,61,52,115,91,103,108,110,108,,,,,,,,,687,687,1,119,32,503,0,24,48.5,34.145948,-83.467623,41-Rural: Fringe,Jackson County,14.2,1-Yes,1-Yes,1,0,3,5,58,61,12,20,260,243,0,0,12,12,346,341,1,,,Regular school,Currently operational ,Elementary,8,No,No
-9291094.045,4048036.774,18858,1.30294E+11,2018-2019,GA,1302940,GA-678,Jackson County,East Jackson Comprehensive High School,1435 Hoods Mill Rd,,Commerce,GA,30529,    ,(706)336-8900,8,12,Not Virtual,718,591,127,,,,,,,,,,308,252,257,231,202,,1250,1250,5,232,97,855,0,38,75.30000305,34.143088,-83.463293,41-Rural: Fringe,Jackson County,16.6,1-Yes,1-Yes,3,2,7,16,106,126,48,49,421,434,0,0,16,22,601,649,1,,,Regular school,Currently operational ,High,23,No,No
